Id_Chanson,Id_Chanson_Parent,Titre_Chanson,Annee_Creation_Chanson,Categories_Chanson,Langues_Chanson,Lieux_Origines_Chanson,Autre_Titre_Chanson,Note_Chanson,Relation_Chanson_Autorite,Id_Autorite,Forme_Retenue_Autorite,Forme_Nom_Veritable,Formes_Anciennes,Formes_Non_Retenues,Formes_Autres_Retenues,Type_Autorite,Date_Naissance_Autorite,Date_Deces_Autorite,Lieux_Naissances_Autorite,Lieux_Activites_Autorite,Note_Autorite,Id_Autorites_Membres_Groupes,Id_Autorites_Evolutions,Id_Autorites_Partenariats
320,,"Devoted to you",1958,"","anglais","","","","Interprète",13225,"Ronstadt, Linda, 1946-","Ronstadt, Linda Marie, 1946-","","","","Physique","1946-07-15","????-??-??","États-Unis; Arizona","États-Unis; Arizona","Actrice, auteure-compositrice-interprète, musicienne et productrice de disques de rock, rock and roll, folk, country rock, jazz, musique latine, cajun, big band, pop-rock et art rock.","","","20980; 21162; 21519; 22524"
320,,"Devoted to you",1958,"","anglais","","","","Interprète",14121,"Simon, Carly, 1945-","Simon, Carly Elisabeth, 1945-","","","","Physique","1945-06-25","????-??-??","États-Unis; New York","États-Unis; New York","Actrice, auteure-compositrice-interprète et musicienne de pop et rock.","","",""
320,,"Devoted to you",1958,"","anglais","","","","Interprète",14899,"Taylor, James, 1948-","Taylor, James Vernon, 1948-","","","","Physique","1948-03-12","????-??-??","États-Unis; Massachusetts","États-Unis; Massachusetts","Auteur-compositeur-interprète et guitariste de folk rock, rock, pop, soft rock et country.","","","20970; 21251; 21369; 21524; 22394"
320,,"Devoted to you",1958,"","anglais","","","","Interprète",16933,"Beach Boys (Groupe musical)","","","","","Morale","1961-??-??","????-??-??","États-Unis; Californie","États-Unis; Californie","Groupe de rock pop, surf rock et rock psychédélique. David Marks est membre du groupe de février 1962 à octobre 1963.","2422; 7838; 9494; 9962; 16305","",""
320,,"Devoted to you",1958,"","anglais","","","","Interprète",17893,"Everly Brothers (Duo musical)","","","","","Morale","1957-??-??","????-??-??","États-Unis; Iowa","États-Unis; Iowa","Duo de country, rockabilly et rock and roll.","5080; 5081","","21917"
321,,"Un million de fois",1982,"","français","","1 000 000 de fois","","Auteur; Compositeur; Interprète",669,"Aznavour, Charles, 1924-","Aznavourian, Chahnourh Varinag, 1924-","","","","Physique","1924-05-22","????-??-??","France","France","Auteur-compositeur-interprète.","","","21179; 21481; 21497; 21636; 21699; 21700; 21741; 21742; 21966; 22201; 22202"
321,,"Un million de fois",1982,"","français","","1 000 000 de fois","","Auteur; Compositeur",9144,"Level, Charles, 1943-","","","Level, Charlie, 1943-","","Physique","1943-??-??","????-??-??","France","France","Chanteur et parolier.","","",""
322,,"Un par un",1971,"","français","","","","Auteur; Compositeur; Interprète",669,"Aznavour, Charles, 1924-","Aznavourian, Chahnourh Varinag, 1924-","","","","Physique","1924-05-22","????-??-??","France","France","Auteur-compositeur-interprète.","","","21179; 21481; 21497; 21636; 21699; 21700; 21741; 21742; 21966; 22201; 22202"
323,,"Une idée",1986,"","français","","","","Auteur; Compositeur; Interprète",669,"Aznavour, Charles, 1924-","Aznavourian, Chahnourh Varinag, 1924-","","","","Physique","1924-05-22","????-??-??","France","France","Auteur-compositeur-interprète.","","","21179; 21481; 21497; 21636; 21699; 21700; 21741; 21742; 21966; 22201; 22202"
324,,"Une maison",1983,"","français","","","","Auteur; Compositeur; Interprète",669,"Aznavour, Charles, 1924-","Aznavourian, Chahnourh Varinag, 1924-","","","","Physique","1924-05-22","????-??-??","France","France","Auteur-compositeur-interprète.","","","21179; 21481; 21497; 21636; 21699; 21700; 21741; 21742; 21966; 22201; 22202"
324,,"Une maison",1983,"","français","","","","Auteur; Compositeur",4379,"Dimey, Bernard, 1931-1981","Dimey, Bernard Georges Lucide, 1931-1981","","","","Physique","1931-07-16","1981-07-01","France","France","Auteur-compositeur-interprète.","","",""
